alder,gender,sum_loen_Mean,indbetalinger_Mean,indbetalingsprocent
30,Man,367895.55234,39163.111019,0.106451711
31,Man,382953.68538,41475.375106,0.1083038934
32,Man,397611.06339,43867.752573,0.1103282997
33,Man,407549.15096,45156.751166,0.110800749
34,Man,414623.2338,46546.998203,0.112263362
35,Man,427135.80279,48444.110665,0.113416179
36,Man,434125.30331,50035.736365,0.1152564386
37,Man,442745.46424,51294.366073,0.115855204
38,Man,451756.83378,52800.374752,0.1168778662
39,Man,457781.7826,54335.390547,0.1186927759
40,Man,466113.58198,55662.739645,0.1194188322
41,Man,468640.23303,56412.456122,0.1203747612
42,Man,473158.24645,57465.324186,0.1214505393
43,Man,478605.93689,58800.706458,0.1228582889
44,Man,483114.86432,59712.712314,0.1235994103
45,Man,484303.62309,59938.968617,0.1237632051
46,Man,486516.49653,61188.099904,0.1257677804
47,Man,486466.6955,61456.905316,0.1263332226
48,Man,486530.94194,61896.761015,0.1272206055
49,Man,484832.39914,61974.347583,0.1278263328
50,Man,482555.93593,62096.042982,0.1286815442
51,Man,481219.63907,62744.910322,0.1303872603
52,Man,476791.33922,62866.849531,0.131854009
53,Man,476544.73073,63106.839259,0.1324258463
54,Man,469538.56061,63170.469888,0.134537342
55,Man,467082.00218,63415.066579,0.1357685937
56,Man,460195.05208,62888.218773,0.1366555735
57,Man,457872.76889,62911.31623,0.1373991216
58,Man,452161.1942,63219.456056,0.1398161914
59,Man,448222.23831,62976.858122,0.1405036447
60,Man,438884.00748,62357.454975,0.1420818574
61,Man,433574.64437,62255.01036,0.1435854499
62,Man,421772.98514,65523.415472,0.1553523288
63,Man,423999.54058,70308.908786,0.1658230778
64,Man,407941.02352,70012.657303,0.1716244586
30,Woman,304291.77237,35789.49183,0.1176157066
31,Woman,313765.31464,37641.625267,0.1199674518
32,Woman,322040.01285,39488.90159,0.122621103
33,Woman,330596.69837,40739.322331,0.1232296709
34,Woman,336700.336,41902.798622,0.1244513122
35,Woman,346099.18417,43434.289639,0.1254966542
36,Woman,349766.05562,44155.831018,0.1262439002
37,Woman,356877.27934,44989.187818,0.1260634689
38,Woman,366336.57387,46740.848643,0.127589905
39,Woman,370610.3207,47196.779617,0.1273488
40,Woman,374099.4094,48063.699507,0.1284784159
41,Woman,378201.58488,48654.38122,0.1286466878
42,Woman,382772.2067,49490.945218,0.1292960783
43,Woman,382670.16328,49619.302212,0.1296659812
44,Woman,389314.43206,51048.721584,0.1311246576
45,Woman,390620.17042,51035.460142,0.1306523933
46,Woman,392557.11313,51571.368229,0.1313729047
47,Woman,394649.567,51940.611553,0.1316119816
48,Woman,393133.45088,51630.116362,0.1313297463
49,Woman,392580.91649,51951.892066,0.1323342269
50,Woman,392916.12211,52222.659647,0.1329104527
51,Woman,393319.91565,52738.187118,0.1340847107
52,Woman,391515.78111,52806.76557,0.1348777447
53,Woman,389418.77465,52852.695541,0.1357220016
54,Woman,384967.69152,52769.94192,0.1370762874
55,Woman,382494.21675,52286.937904,0.1366999437
56,Woman,376265.29133,51585.541106,0.1370988563
57,Woman,376314.6474,51960.565853,0.1380774472
58,Woman,371169.18539,51306.02742,0.1382281435
59,Woman,367029.76811,50615.265847,0.13790507
60,Woman,361353.87025,48947.214798,0.1354550728
61,Woman,357108.56527,48486.370855,0.1357748751
62,Woman,349287.08712,52482.121259,0.1502549713
63,Woman,356639.21009,59047.207046,0.1655656624
64,Woman,345618.24937,59642.484507,0.172567521
30,all,337141.14013,37531.860876,0.1113238831
31,all,349678.18465,39631.568926,0.1133372646
32,all,361269.74468,41762.009461,0.1155978603
33,all,369858.28448,42993.120056,0.1162421442
34,all,376784.25526,44291.797572,0.1175521454
35,all,387366.00611,45985.47447,0.1187132421
36,all,392882.4509,47161.077391,0.1200386459
37,all,400058.35342,48159.912454,0.1203822193
38,all,409243.82099,49784.594758,0.1216502051
39,all,414193.51065,50765.876996,0.122565602
40,all,419821.99423,51839.723869,0.1234802478
41,all,423087.16162,52504.78891,0.1240992251
42,all,427922.44418,53474.360192,0.1249627378
43,all,430131.86726,54161.560788,0.1259185029
44,all,435593.01487,55323.299033,0.1270068554
45,all,436864.27662,55430.417626,0.1268824681
46,all,438880.72664,56312.584541,0.1283095409
47,all,440388.03653,56681.129139,0.128707241
48,all,439319.18758,56707.046602,0.129079376
49,all,438382.53502,56927.90623,0.129858974
50,all,437409.99498,57123.440273,0.1305947302
51,all,436794.06107,57687.391994,0.1320700008
52,all,433664.56782,57779.120399,0.1332345889
53,all,432515.10102,57924.845612,0.1339256028
54,all,426871.35278,57923.255413,0.1356925337
55,all,424227.64434,57777.269043,0.1361940218
56,all,417541.39756,57144.123901,0.1368585827
57,all,416375.90539,57339.562181,0.1377110477
58,all,411127.14359,57183.598436,0.1390898152
59,all,406911.55963,56687.287609,0.139311077
60,all,399455.53666,55537.587471,0.1390332149
61,all,394535.02822,55225.456766,0.1399760549
62,all,384991.21913,58905.82715,0.1530056381
63,all,393216.48315,65162.413676,0.1657163839
64,all,380859.49073,65506.436609,0.1719963351
