age,e_state_lag,P_0,P_1,P_2
0,0,0.7303943488593674,0.2671431326763994,0.0024625184642332156
1,0,0.7377239119004256,0.259381422335631,0.0028946657639434574
2,0,0.7444323477054904,0.2521797125943757,0.003387939700133966
3,0,0.7505365966563656,0.24551509028898716,0.003948313054647222
4,0,0.7560527403896756,0.23936537162907182,0.0045818879812525755
5,0,0.7609959004548013,0.23370928491067167,0.005294814634527096
6,0,0.7653801876764561,0.22852661663479432,0.006093195688749491
7,0,0.7692186962712567,0.22379832680277023,0.00698297692597307
8,0,0.7725235367823674,0.21950663868455747,0.00796982453307512
9,0,0.7753059019030408,0.21563510783609618,0.009058990260862862
10,0,0.7775761592419287,0.21216867460787375,0.010255166150197613
11,0,0.7793439650373576,0.20909370386083623,0.011562331101806194
12,0,0.7806183927628236,0.20639801510239586,0.012983592134780635
13,0,0.78140807049954,0.2040709057836483,0.014521023716811736
14,0,0.7817213209086261,0.20210317006387898,0.016175509027494962
15,0,0.7815662976442032,0.20048711495161567,0.017946587404181175
16,0,0.7809511121394519,0.19921657537210088,0.019832312488447315
17,0,0.7798839448992182,0.198286929386542,0.02182912571423978
18,0,0.7783731357695044,0.19769511449488875,0.02393174973560683
19,0,0.7764272481438594,0.1974396456861399,0.026133106170000666
20,0,0.7740551027184045,0.19752063565226335,0.028424261629332287
21,0,0.771265777220096,0.1979398173468198,0.030794405433084246
22,0,0.7680685694956227,0.19870056883953566,0.033230861664841724
23,0,0.764472922439971,0.19980794018472625,0.035719137375302766
24,0,0.7604883104348144,0.20126868177516366,0.03824300779002203
25,0,0.756124088222184,0.2030912733834509,0.04078463839436513
26,0,0.7513893044202671,0.2052859527893379,0.043324742790395
27,0,0.7462924831581583,0.20786474254240409,0.045842774299437575
28,0,0.7408413785315766,0.2108414730038375,0.048317148464585825
29,0,0.7350427077357138,0.21423179933786085,0.05072549292642542
30,0,0.8384174541697156,0.0,0.16158254583028436
31,0,0.8315706656983238,0.0,0.1684293343016762
32,0,0.8249859356378848,0.0,0.17501406436211522
33,0,0.8187052545782858,0.0,0.18129474542171417
34,0,0.8127684236026232,0.0,0.18723157639737678
35,0,0.0,0.0,1.0
36,0,0.0,0.0,1.0
37,0,0.0,0.0,1.0
38,0,0.0,0.0,1.0
39,0,0.0,0.0,1.0
40,0,0.0,0.0,1.0
41,0,0.0,0.0,1.0
42,0,0.0,0.0,1.0
43,0,0.0,0.0,1.0
44,0,0.0,0.0,1.0
45,0,0.0,0.0,1.0
46,0,0.0,0.0,1.0
47,0,0.0,0.0,1.0
48,0,0.0,0.0,1.0
49,0,0.0,0.0,1.0
50,0,0.0,0.0,1.0
51,0,0.0,0.0,1.0
52,0,0.0,0.0,1.0
53,0,0.0,0.0,1.0
54,0,0.0,0.0,1.0
55,0,0.0,0.0,1.0
56,0,0.0,0.0,1.0
57,0,0.0,0.0,1.0
58,0,0.0,0.0,1.0
59,0,0.0,0.0,1.0
60,0,0.0,0.0,1.0
61,0,0.0,0.0,1.0
62,0,0.0,0.0,1.0
63,0,0.0,0.0,1.0
64,0,0.0,0.0,1.0
65,0,0.0,0.0,1.0
66,0,0.0,0.0,1.0
67,0,0.0,0.0,1.0
68,0,0.0,0.0,1.0
69,0,0.0,0.0,1.0
0,1,0.12720865106026108,0.8712497368813653,0.001541612058373552
1,1,0.12319614819933847,0.8754235146436622,0.0013803371569994325
2,1,0.11928259582404381,0.879466463970855,0.00125094020510099
3,1,0.11546771160996931,0.8833848397110883,0.001147448678942329
4,1,0.11175088711194975,0.8871837961390705,0.0010653167489797352
5,1,0.1081312608371922,0.8908676426948536,0.0010010964679542053
6,1,0.1046077726123341,0.8944400292548814,0.0009521981327844288
7,1,0.10117920445135238,0.8979040788094238,0.0009167167392238523
8,1,0.09784421157831955,0.9012624800743835,0.0008933083472970785
9,1,0.09460134617654699,0.9045175486617232,0.0008811051617298502
10,1,0.091449075674139,0.9076712624986781,0.0008796618271828554
11,1,0.08838579683358828,0.9107252748783492,0.0008889282880624603
12,1,0.08540984651971967,0.9136809065825552,0.0009092468977251438
13,1,0.0825195097271138,0.9165391167287359,0.0009413735441502638
14,1,0.07971302522004363,0.9193004501624605,0.0009865246174958857
15,1,0.07698858894871628,0.9219649571459809,0.0010464539053027895
16,1,0.07434435523423691,0.9245320785493836,0.0011235662163794223
17,1,0.0717784355426285,0.9270004864388613,0.0012210780185102062
18,1,0.06928889447690459,0.9293678654767175,0.0013432400463779862
19,1,0.06687374238471508,0.9316306143387902,0.001495643276494581
20,1,0.06453092368161281,0.9337834376126479,0.0016856387057393256
21,1,0.06225829959242932,0.9358187861971542,0.0019229142104165724
22,1,0.06005362346903094,0.9377260863764622,0.002220290154506957
23,1,0.05791450608714623,0.9394906719925289,0.0025948219203247784
24,1,0.055838367267729346,0.9410922968335862,0.003069335898684441
25,1,0.053822368684302783,0.9425030501576932,0.0036745811580040553
26,1,0.051863320636421184,0.9436844194685761,0.004452259895002799
27,1,0.04995755266650211,0.9445831302906871,0.00545931704281069
28,1,0.048100733896528546,0.9451252276248485,0.006774038478622872
29,1,0.04628762356775828,0.9452076282619108,0.008504748170330853
30,1,0.04817679945377381,0.8995346427973607,0.052288557748865434
31,1,0.04574939685020166,0.8878551479713278,0.06639545517847055
32,1,0.043220597688589046,0.8718672533858829,0.08491214892552808
33,1,0.04054826649542534,0.8502777236658645,0.1091740098387101
34,1,0.03768619556115355,0.8215344416453593,0.14077936279348713
35,1,0.0,0.9577405937428434,0.04225940625715657
36,1,0.0,0.9592884509471052,0.04071154905289468
37,1,0.0,0.9607841962628199,0.03921580373718017
38,1,0.0,0.9622293323436195,0.037770667656380444
39,1,0.0,0.9636253333666778,0.03637466663332228
40,1,0.0,0.0,1.0
41,1,0.0,0.0,1.0
42,1,0.0,0.0,1.0
43,1,0.0,0.0,1.0
44,1,0.0,0.0,1.0
45,1,0.0,0.0,1.0
46,1,0.0,0.0,1.0
47,1,0.0,0.0,1.0
48,1,0.0,0.0,1.0
49,1,0.0,0.0,1.0
50,1,0.0,0.0,1.0
51,1,0.0,0.0,1.0
52,1,0.0,0.0,1.0
53,1,0.0,0.0,1.0
54,1,0.0,0.0,1.0
55,1,0.0,0.0,1.0
56,1,0.0,0.0,1.0
57,1,0.0,0.0,1.0
58,1,0.0,0.0,1.0
59,1,0.0,0.0,1.0
60,1,0.0,0.0,1.0
61,1,0.0,0.0,1.0
62,1,0.0,0.0,1.0
63,1,0.0,0.0,1.0
64,1,0.0,0.0,1.0
65,1,0.0,0.0,1.0
66,1,0.0,0.0,1.0
67,1,0.0,0.0,1.0
68,1,0.0,0.0,1.0
69,1,0.0,0.0,1.0
